Cust. Code,Cust. Name,Ref. Doc. No.,Bill No.,Sale Date,Model,Part No.,Part Desc.,Qty.,Total Amt.,Discount,Net Amt.
00000002,Shakti  Toyota,S25-01177,AZ25-00187,17/04/2025,,A-04152-YZZA8,"MVP ELEMENT KIT, OIL",1,445.00,0.00,445.00
00000002,Shakti  Toyota,S25-01178,AZ25-00188,17/04/2025,,A-04421-0B020,BEARING KIT,1,"1,802.00",0.00,"1,802.00"
00000002,Shakti  Toyota,S25-01225,AZ25-00223,21/04/2025,,A-04465-02350,"PAD KIT, DISC BRAKE",1,"2,518.00",0.00,"2,518.00"
00000002,Shakti  Toyota,S25-01174,AZ25-00184,17/04/2025,,A-04465-YZZT5,"PAD KIT,DISC BRAKE",1,"5,425.00",0.00,"5,425.00"
00000002,Shakti  Toyota,S25-01177,AZ25-00187,17/04/2025,,A-04495-0D080,"SHOE KIT, BRAKE, RR",1,"1,876.00",0.00,"1,876.00"
00000002,Shakti  Toyota,S25-01160,AZ25-00173,16/04/2025,,A-08808-80020,FLUID WINDSHIELD WASH,4,120.00,0.00,120.00
00000002,Shakti  Toyota,S25-01142,AZ25-00156,15/04/2025,,A-08813-80100,DIESEL INJECTOR,1,"1,327.00",0.00,"1,327.00"
00000002,Shakti  Toyota,S25-01208,AZ25-00211,19/04/2025,,A-08814-80090,"ENGINE, FLUSH",1,"1,330.00",0.00,"1,330.00"
00000002,Shakti  Toyota,S25-01161,AZ25-00174,16/04/2025,,A-09115-0B060,"ROD,JACK HANDLE",1,270.00,0.00,270.00
00000002,Shakti  Toyota,S25-01196,AZ25-00200,18/04/2025,,A-12180-28010,"CAP ASSY, OIL FILLER",1,756.00,0.00,756.00
00000002,Shakti  Toyota,S25-01176,AZ25-00186,17/04/2025,,A-23390-0L070,"ELEMENT,FUEL FILTER",1,"2,237.00",0.00,"2,237.00"
00000002,Shakti  Toyota,S25-01161,AZ25-00174,16/04/2025,,A-42602-0D150,"CAP SUB-ASSY, WHEEL",2,"1,128.00",0.00,"1,128.00"
00000002,Shakti  Toyota,S25-01217,AZ25-00218,20/04/2025,,A-42602-0D150,"CAP SUB-ASSY, WHEEL",1,564.00,0.00,564.00
00000002,Shakti  Toyota,S25-01174,AZ25-00184,17/04/2025,,A-43512-0K090,"DISC, FR",2,"12,308.00",0.00,"12,308.00"
00000002,Shakti  Toyota,S25-01135,AZ25-00150,15/04/2025,,A-48068-0D081,"ARM SUB-ASSY,LWR RH",1,"1,773.00",0.00,"1,773.00"
00000002,Shakti  Toyota,S25-01147,AZ25-00161,16/04/2025,,A-48068-0D081,"ARM SUB-ASSY,LWR RH",1,"1,773.00",0.00,"1,773.00"
00000002,Shakti  Toyota,S25-01147,AZ25-00161,16/04/2025,,A-48069-0D081,"ARM SUB-ASSY,LWR LH",1,"1,773.00",0.00,"1,773.00"
00000002,Shakti  Toyota,S25-01135,AZ25-00150,15/04/2025,,A-48069-0D081,"ARM SUB-ASSY,LWR LH",1,"1,773.00",0.00,"1,773.00"
00000002,Shakti  Toyota,S25-01147,AZ25-00161,16/04/2025,,A-48158-0D140,INSULATOR FR SPRING,2,612.00,0.00,612.00
00000002,Shakti  Toyota,S25-01229,AZ25-00226,21/04/2025,,A-48190-0K020,"CAM ASSY, CAMBER ADJ",1,700.00,0.00,700.00
00000002,Shakti  Toyota,S25-01229,AZ25-00226,21/04/2025,,A-48198-0K020,"CAM, CAMBER ADJUST,",1,389.00,0.00,389.00
00000002,Shakti  Toyota,S25-01236,AZ25-00233,21/04/2025,,A-48257-0K010,"INSULATOR, RR COIL",2,282.00,0.00,282.00
00000002,Shakti  Toyota,S25-01184,AZ25-00192,18/04/2025,,A-48257-0K010,"INSULATOR, RR COIL",2,282.00,0.00,282.00
00000002,Shakti  Toyota,S25-01135,AZ25-00150,15/04/2025,,A-48530-0D871,"ABSORBER ASSY, SHOCK",2,"3,570.00",0.00,"3,570.00"
00000002,Shakti  Toyota,S25-01147,AZ25-00161,16/04/2025,,A-48619-52030,"BEARING, STRUT",2,448.00,0.00,448.00
00000002,Shakti  Toyota,S25-01169,AZ25-00180,17/04/2025,,A-48654-0K070,BUSH LOWER ARM,2,"1,946.00",0.00,"1,946.00"
